model;nb_words;k;weights;distance;precision;recall;f1_score;auc
timbl;300;1;gain ratio;inverse distance;0.79718;0.94333;0.8641189184779174;0.85167
timbl;300;2;gain ratio;inverse distance;0.7933;0.94667;0.8632255854986005;0.85
timbl;300;10;gain ratio;inverse distance;0.7766;0.97333;0.8639066454086736;0.84667
timbl;300;1;no weights;inverse distance;0.78889;0.94667;0.8606080991726013;0.84667
timbl;300;2;no weights;inverse distance;0.77045;0.97333;0.8600879680923051;0.84167
timbl;300;10;no weights;inverse distance;0.62737;0.99333;0.7690324453631148;0.70167
timbl;300;1;gain ratio;inverse linear;0.79775;0.94667;0.8658533982641795;0.8533299999999999
timbl;300;2;gain ratio;inverse linear;0.79494;0.94333;0.8628012336403436;0.85
timbl;300;10;gain ratio;inverse linear;0.78049;0.96;0.8609878827226816;0.845
timbl;300;1;no weights;inverse linear;0.7829699999999999;0.95;0.8584355182143949;0.8433299999999999
timbl;300;2;no weights;inverse linear;0.75781;0.97;0.8508756171106777;0.83
timbl;300;10;no weights;inverse linear;0.62083;0.99333;0.7640990532537046;0.69333
timbl;300;1;gain ratio;exponential decay;0.79718;0.94333;0.8641189184779174;0.85167
timbl;300;2;gain ratio;exponential decay;0.79109;0.94667;0.861915535286806;0.8483299999999999
timbl;300;10;gain ratio;exponential decay;0.75979;0.97;0.8521222807392804;0.83167
timbl;300;1;no weights;exponential decay;0.7867;0.94667;0.8593033097376787;0.845
timbl;300;2;no weights;exponential decay;0.75654;0.96333;0.8475032161733154;0.8266700000000001
timbl;300;10;no weights;exponential decay;0.6883699999999999;0.98667;0.8109585775862068;0.77
timbl;350;1;gain ratio;equal;0.8;0.94667;0.8671769710363149;0.855
timbl;350;2;gain ratio;equal;0.79178;0.96333;0.8691710803311473;0.855
timbl;350;10;gain ratio;equal;0.7624;0.97333;0.8550486446624763;0.835
timbl;350;1;no weights;equal;0.79494;0.94333;0.8628012336403436;0.85
timbl;350;2;no weights;equal;0.76658;0.96333;0.853766394089866;0.835
timbl;350;10;no weights;equal;0.62264;0.99;0.7644776267486855;0.695
timbl;350;1;gain ratio;inverse distance;0.8;0.94667;0.8671769710363149;0.855
timbl;350;2;gain ratio;inverse distance;0.7994399999999999;0.95667;0.871016354100825;0.8583299999999999
timbl;350;10;gain ratio;inverse distance;0.78191;0.98;0.8698194572935054;0.8533299999999999
timbl;350;1;no weights;inverse distance;0.79494;0.94333;0.8628012336403436;0.85
timbl;350;2;no weights;inverse distance;0.78474;0.96;0.8635675229547096;0.8483299999999999
timbl;350;10;no weights;inverse distance;0.63948;0.99333;0.778063177467066;0.71667
timbl;350;1;gain ratio;inverse linear;0.80056;0.95;0.868901380129787;0.85667
timbl;350;2;gain ratio;inverse linear;0.80282;0.95;0.870230828037106;0.8583299999999999
timbl;350;10;gain ratio;inverse linear;0.7989;0.96667;0.8748139841524267;0.86167
timbl;350;1;no weights;inverse linear;0.78177;0.94333;0.854984747666802;0.84
