model_name,nb_words,precision,recall,f1_score,auc
Multinomial NB TF,400,0.7142857142857143,0.11705685618729098,0.2011494252873563,0.5351950947603121
Multinomial NB TF,350,0.7111111111111111,0.10702341137123746,0.18604651162790686,0.5318450390189521
Multinomial NB TF,300,0.6818181818181818,0.10033444816053512,0.1749271137026239,0.5268338907469342
Multinomial NB TF,250,0.6153846153846154,0.0802675585284281,0.14201183431952666,0.515133779264214
Multinomial NB TF,200,0.5952380952380952,0.08361204013377926,0.14662756598240467,0.5134726867335563
Multinomial NB TF,150,0.4991652754590985,1.0,0.6659242761692651,0.5
Multinomial NB TF,100,0.4991652754590985,1.0,0.6659242761692651,0.5
Multinomial NB TF,50,0.4991652754590985,1.0,0.6659242761692651,0.5
Gaussian NB Normalized,700,0.8791666666666667,0.7056856187290971,0.7829313543599258,0.8045094760312151
Gaussian NB Normalized,650,0.8860759493670886,0.7023411371237458,0.7835820895522388,0.806170568561873
Gaussian NB Normalized,600,0.8860759493670886,0.7023411371237458,0.7835820895522388,0.806170568561873
Gaussian NB Normalized,550,0.8830645161290323,0.7324414715719063,0.8007312614259597,0.8178874024526198
Gaussian NB Normalized,500,0.8656126482213439,0.7324414715719063,0.7934782608695652,0.8095540691192865
Gaussian NB Normalized,450,0.8565737051792829,0.7190635451505016,0.7818181818181819,0.7995317725752509
Gaussian NB Normalized,400,0.6723300970873787,0.9264214046822744,0.7791842475386781,0.7382107023411372
Gaussian NB Normalized,350,0.6338028169014085,0.9030100334448159,0.7448275862068966,0.6915050167224079
Gaussian NB Normalized,300,0.7352941176470589,0.8361204013377926,0.7824726134585291,0.7680602006688962
Gaussian NB Normalized,250,0.5519230769230771,0.959866220735786,0.7008547008547009,0.5915997770345597
Gaussian NB Normalized,200,0.527927927927928,0.979933110367893,0.6861826697892273,0.5532998885172798
Gaussian NB Normalized,150,0.0,0.0,0.0,0.5
Gaussian NB Normalized,100,0.0,0.0,0.0,0.5
Gaussian NB Normalized,50,0.0,0.0,0.0,0.5
Multinomial NB Boolean Test,50,0.6490566037735849,0.863237139272271,0.7409800753904147,0.6846066174449004
Multinomial NB Boolean Test,100,0.7286012526096033,0.875784190715182,0.7954415954415954,0.7652493330733944
Multinomial NB Boolean Test,150,0.7811484290357529,0.9046424090338772,0.8383720930232559,0.8181910584346013
Multinomial NB Boolean Test,200,0.7976190476190477,0.9247176913425345,0.8564787914003487,0.8381888589514798
Multinomial NB Boolean Test,250,0.8034744842562432,0.9284818067754078,0.8614668218859138,0.8440549804129364
Multinomial NB Boolean Test,300,0.8347205707491082,0.8808030112923463,0.8571428571428571,0.848104028886545
Multinomial NB Boolean Test,350,0.8337236533957846,0.8933500627352572,0.8625075711689885,0.8523855227354905
Multinomial NB Boolean Test,400,0.8349056603773585,0.8883312421580929,0.8607902735562312,0.8512041336952483
Multinomial NB Boolean Test,450,0.8388235294117647,0.8946047678795483,0.8658166363084396,0.8563329284284859
Multinomial NB Boolean Test,500,0.8573127229488704,0.9046424090338772,0.8803418803418803,0.8726399296165401
Multinomial NB Boolean Test,550,0.8682926829268293,0.8933500627352572,0.8806431663574521,0.8749618839572701
Multinomial NB Boolean Test,600,0.8734793187347932,0.9008782936010038,0.8869672637430513,0.8813820418868233
Multinomial NB Boolean Test,650,0.8768292682926829,0.9021329987452948,0.8893011750154607,0.8840014263314787
Multinomial NB Boolean Test,700,0.8742368742368742,0.8983688833124216,0.8861386138613863,0.8807913473667021
Multinomial NB TF Test,50,0.5141935483870967,1.0,0.6791648913506604,0.5
Multinomial NB TF Test,100,0.5141935483870967,1.0,0.6791648913506604,0.5
Multinomial NB TF Test,150,0.5141935483870967,1.0,0.6791648913506604,0.5
Multinomial NB TF Test,200,0.6630434782608695,0.07653701380175659,0.13723284589426324,0.5176841775516088
Multinomial NB TF Test,250,0.7195121951219512,0.0740276035131744,0.13424345847554034,0.5217415574006775
Multinomial NB TF Test,300,0.7708333333333334,0.09284818067754078,0.16573348264277715,0.5318158566070307
Multinomial NB TF Test,350,0.7787610619469026,0.11041405269761606,0.19340659340659336,0.5386067607445584
Multinomial NB TF Test,400,0.7881355932203391,0.11668757841907153,0.20327868852459013,0.5417435236052861
Multinomial NB TF Test,450,0.8166666666666667,0.12296110414052698,0.2137404580152672,0.5468723183385238
Multinomial NB TF Test,500,0.8296296296296296,0.14052697616060225,0.2403433476394849,0.5549912437243915
Multinomial NB TF Test,550,0.8625,0.17314930991217065,0.2884012539184953,0.5719664212243456
Multinomial NB TF Test,600,0.8809523809523809,0.18569636135508155,0.3067357512953368,0.579567968194141
Multinomial NB TF Test,650,0.8932584269662921,0.1994981179422836,0.3261538461538462,0.5871328571119121
Multinomial NB TF Test,700,0.9047619047619048,0.21455457967377667,0.3468559837728195,0.5953250986018286
Multivariate Bernoulli NB Test,50,0.7716049382716049,0.6273525721455459,0.6920415224913494,0.7154027136956148
Multivariate Bernoulli NB Test,100,0.7677793904208998,0.6637390213299874,0.7119784656796769,0.7256278107977958
Multivariate Bernoulli NB Test,150,0.7713884992987378,0.6900878293601004,0.7284768211920529,0.7368101829403423
Multivariate Bernoulli NB Test,200,0.7839335180055401,0.7101631116687579,0.7452271231073074,0.7514958984638609
Multivariate Bernoulli NB Test,250,0.7858136300417247,0.7089084065244667,0.745382585751979,0.7521965671400553
Multivariate Bernoulli NB Test,300,0.7953296703296703,0.726474278544542,0.7593442622950821,0.764299556270943
Multivariate Bernoulli NB Test,350,0.7964721845318861,0.7365119196988708,0.7653194263363754,0.7686543662239373
Multivariate Bernoulli NB Test,400,0.7997275204359673,0.7365119196988708,0.7668190725016328,0.7706463980964473
Multivariate Bernoulli NB Test,450,0.7945578231292517,0.7327478042659975,0.762402088772846,0.7661082978833308
Multivariate Bernoulli NB Test,500,0.8071625344352618,0.7352572145545797,0.7695338148391333,0.7746671198934917
Multivariate Bernoulli NB Test,550,0.8137931034482758,0.740276035131744,0.7752956636005256,0.7804965833029237
Multivariate Bernoulli NB Test,600,0.8124137931034483,0.7390213299874531,0.7739816031537451,0.7792052201066083
Multivariate Bernoulli NB Test,650,0.8147632311977716,0.7340025094102886,0.7722772277227722,0.7786878416905358
Multivariate Bernoulli NB Test,700,0.8060522696011004,0.7352572145545797,0.7690288713910762,0.7740031092693217
Gaussian NB Boolean Test,50,0.7885245901639344,0.6035131744040151,0.6837242359630419,0.7160992166840794
Gaussian NB Boolean Test,100,0.835725677830941,0.657465495608532,0.7359550561797753,0.7603396535147573
Gaussian NB Boolean Test,150,0.8454404945904173,0.6863237139272271,0.7576177285318559,0.7767607945466148
Gaussian NB Boolean Test,200,0.8512160228898427,0.7465495608531995,0.7954545454545454,0.8042176755129209
Gaussian NB Boolean Test,250,0.8507670850767085,0.7653701380175659,0.8058124174372524,0.8116359322225944
Gaussian NB Boolean Test,300,0.8577464788732394,0.7641154328732748,0.8082282680822827,0.8149926433954688
Gaussian NB Boolean Test,350,0.8511821974965229,0.7678795483061479,0.8073878627968336,0.8128906373668855
Gaussian NB Boolean Test,400,0.8514442916093535,0.7766624843161857,0.8123359580052494,0.8166180947477344
Gaussian NB Boolean Test,450,0.8549723756906077,0.7766624843161857,0.8139381985535832,0.8186101266202442
Gaussian NB Boolean Test,500,0.8743016759776536,0.7854454203262233,0.8274950429610046,0.8329617539878128
Gaussian NB Boolean Test,550,0.9020172910662824,0.7854454203262233,0.8397048960429241,0.8475699877195526
Gaussian NB Boolean Test,600,0.8986975397973951,0.7791718946047679,0.8346774193548386,0.8431052036104848
Gaussian NB Boolean Test,650,0.8935251798561151,0.7791718946047679,0.8324396782841823,0.8404491611138049
Gaussian NB Boolean Test,700,0.8888888888888888,0.7728983688833124,0.8268456375838926,0.8353203663805672
Gaussian NB Normalized Test,50,0.0,0.0,0.0,0.5
Gaussian NB Normalized Test,100,0.0,0.0,0.0,0.5
Gaussian NB Normalized Test,150,0.0,0.0,0.0,0.5
Gaussian NB Normalized Test,200,0.5400410677618069,0.9899623588456712,0.6988485385296722,0.5487660399806046
Gaussian NB Normalized Test,250,0.5627292736610419,0.9623588456712672,0.7101851851851853,0.5854290908303216
Gaussian NB Normalized Test,300,0.7616875712656784,0.8381430363864492,0.7980884109916367,0.7802932977416973
Gaussian NB Normalized Test,350,0.6738934056007226,0.9360100376411544,0.7836134453781513,0.7282971834952119
Gaussian NB Normalized Test,400,0.6834400731930467,0.9372647427854456,0.7904761904761904,0.7388846954299073
Gaussian NB Normalized Test,450,0.8652373660030628,0.7089084065244667,0.7793103448275861,0.7960212683352745
Gaussian NB Normalized Test,500,0.889060092449923,0.7239648682559598,0.7980636237897649,0.8141736691877408
Gaussian NB Normalized Test,550,0.9072327044025156,0.7239648682559598,0.8053035589672016,0.8228058073019506
Gaussian NB Normalized Test,600,0.9208754208754208,0.6863237139272271,0.7864845434938893,0.8119533576276242
Gaussian NB Normalized Test,650,0.9211409395973156,0.6888331242158093,0.7882268485283561,0.8132080627719154
Gaussian NB Normalized Test,700,0.9151414309484192,0.6900878293601004,0.7868383404864092,0.8111793728473808
